financial_id,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,parliamentary_id,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerPublicAddress,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,PaymentReceived,ReceivedDate,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,RegularityOfPayment,PeriodForHoursWorked,DonationSource,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Appg,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,VisitLocations_Country_3,VisitLocations_Destination_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,ShareholdingThreshold,RegistrableDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,AroseOn,Description,MiscellaneousInterestType,WorkingPattern,PersonName,FamilyMemberRelationshipLevel,FamilyRelationType,Employer
10399,"Barbara Yerolemou - £5,000.00",,04/08/2024,04/08/2024,,Category 2,4860,Dr Kieran Mullan,,,,,,,,,,,,,,,,,Cash,,5000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Barbara Yerolemou,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10187,"Labour Together Limited - £10,000.00",,04/08/2024,04/08/2024,,Category 2,5213,Dr Zubir Ahmed,,,,,,,,,,,,,,,,,Cash,,10000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Labour Together Limited,"Langley House, Park Road, East Finchley, London N2 8EY",Company,Labour Together Limited,,9639080,Companies House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443,John Ungar - £550.00,,02/08/2024,04/08/2024,,Category 2,5086,Josh Babarinde,,,,,,,,,,,,,,,,,Cash,Donation in support of my election campaign.,550,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,John Ungar,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9022,"Unite the Union - £5,000.00",,01/08/2024,04/08/2024,,Category 2,4869,Nadia Whittome,,,,,,,,,,,,,,,,,Cash,,5000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Unite the Union,"Unite House, 
128 Theobalds Road, 
Holborn, 
London 
WC1X 8TN",Trade Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9027,"Carl Michel - £2,000.00",,01/08/2024,04/08/2024,,Category 2,5032,Tom Gordon,,,,,,,,,,,,,,,,,Cash,,2000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Carl Michel,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9045,"Unison - £1,000.00",,01/08/2024,04/08/2024,,Category 2,5133,Alice Macdonald,,,,,,,,,,,,,,,,,Cash,,1000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Unison,"Unison Centre, 130 Euston Road, London NW1 2AY",Trade Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9050,"KH London Ltdf - £5,000.00",,01/08/2024,04/08/2024,,Category 2,4769,Daisy Cooper,,,,,,,,,,,,,,,,,Cash,,5000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,KH London Ltdf,"1 Lucas Bridge Business Park, 1 Old Greens Norton Road, Towcester, Northamptonshire NN12 8AX",Company,KH London Ltdf,,9799569,Companies House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8386,"Marian Tucker - £13,196.40",,31/07/2024,04/08/2024,,Category 2,5249,Ellie Chowns,,,,,,,,,,,,,,,,,Cash,,13196.4,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Marian Tucker,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8406,"Guy Jennings - £2,000.00",,31/07/2024,04/08/2024,,Category 2,5286,Anna Sabine,,,,,,,,,,,,,,,,,Cash,,2000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Guy Jennings,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8960,"Valary Management Limited - £2,500.00",,01/08/2024,04/08/2024,,Category 2,4803,Paul Holmes,,,,,,,,,,,,,,,,,Cash,,2500,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Valary Management Limited,"Stratford Road, Warwick CV34 6RE",Company,Valary Management Limited,,13643603,Companies House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
