constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Milton Keynes Central,2000.0,0.0,0.0,1024.93,0.0,0.0,0.0,0.0,0.0,0.0,0.429155043,293,277,318,313,282,272,39,503,
Milton Keynes North,25500.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423595912,353,330,376,327,341,342,75,428,
Mitcham and Morden,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.476341688,277,212,306,385,346,193,160,109,
Morecambe and Lunesdale,15000.0,0.0,2240.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572374578,204,233,154,256,147,348,439,117,
New Forest East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493869457,403,424,404,317,424,302,167,382,
New Forest West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540397148,437,431,381,423,442,345,191,438,
Newark,799026.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530606029,343,367,307,280,357,410,211,273,
Newbury,36000.0,0.0,0.0,965.66,0.0,1552.86,0.0,0.0,0.0,0.0,0.48437372,478,459,466,362,470,453,309,384,
Newcastle upon Tyne Central and West,35302.5,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.414397601,35,30,52,43,22,36,357,472,
Newcastle upon Tyne East and Wallsend,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422112958,59,55,70,87,27,65,415,459,
Newcastle upon Tyne North,0.0,0.0,1000.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.424993676,354,326,322,412,172,301,464,491,
Newcastle-under-Lyme,58100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509547901,279,285,220,222,162,303,515,317,
Newton Abbot,0.0,0.0,6986.07,3628.68,0.0,1029.62,0.0,0.0,0.0,0.0,0.469819506,327,293,249,308,305,427,363,239,
Newton Aycliffe and Spennymoor,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540342376,135,114,66,159,64,156,487,529,
