constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Hertsmere,22000.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426851607,406,389,406,399,452,267,111,448,
Hexham,20250.0,0.0,0.0,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.555821051,393,404,354,425,322,477,148,341,
Heywood and Middleton North,14000.0,0.0,750.04,0.0,0.0,850.83,0.0,0.0,0.0,0.0,0.52274134,61,72,55,94,54,17,392,321,
High Peak,16750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485236708,361,342,280,314,254,472,440,272,
Hinckley and Bosworth,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504018509,394,394,350,210,354,335,413,377,
Hitchin,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436276149,502,484,483,464,482,434,311,415,
Holborn and St Pancras,6000.0,0.0,1674.0,0.0,0.0,72705.8,0.0,0.0,0.0,0.0,0.306288377,180,125,202,413,325,106,220,36,
Honiton and Sidmouth,12000.0,0.0,0.0,0.0,0.0,324.91,0.0,0.0,0.0,0.0,0.510128833,428,411,370,392,447,516,283,232,
Hornsey and Friern Barnet,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341344895,310,292,368,522,379,133,59,94,
Horsham,5000.0,0.0,0.0,7186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.479529462,491,518,499,490,475,464,124,342,
Houghton and Sunderland South,32450.0,0.0,500.0,0.0,0.0,2827.1,0.0,0.0,0.0,0.0,0.548078455,82,62,26,81,50,144,496,533,
Hove and Portslade,113560.0,0.0,0.0,0.0,0.0,2644.0,0.0,0.0,0.0,0.0,0.341369971,307,269,259,394,239,333,263,192,
Huntingdon,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.476890601,436,455,450,337,432,412,135,373,
Hyndburn,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501169889,63,92,67,118,25,115,533,26,
Ilford North,118134.0,0.0,8200.0,0.0,0.0,3695.36,0.0,0.0,0.0,0.0,0.291942517,332,260,361,440,459,163,85,207,
Ilford South,0.0,0.0,400.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.259057167,224,145,282,371,402,116,41,156,
Ipswich,56727.3,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.421799338,147,179,169,83,143,119,316,150,
Isle of Wight East,5000.0,0.0,0.0,1942.7600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.487289231,174,154,98,133,220,282,393,178,
Isle of Wight West,0.0,0.0,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.466979134,218,224,168,200,234,365,304,90,
Islington North,88631.29000000001,0.0,0.0,0.0,0.0,75132.04,0.0,0.0,0.0,0.0,0.337084688,120,79,144,449,169,39,80,76,
Islington South and Finsbury,0.0,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355298562,141,116,205,406,183,92,61,37,
Jarrow and Gateshead East,22000.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.538713184,66,42,31,90,26,122,386,517,
Keighley and Ilkley,13926.11,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.421533508,151,209,185,144,133,155,403,74,
Kenilworth and Southam,16000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534003075,492,522,525,518,451,455,109,248,
Kensington and Bayswater,97510.0,0.0,11054.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451937261,237,264,328,526,518,127,25,19,
Kettering,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473273056,286,282,262,201,243,258,307,376,
Kingston and Surbiton,72750.0,0.0,0.0,0.0,0.0,3882.0,0.0,0.0,0.0,0.0,0.425584405,433,403,469,497,473,341,130,180,
Kingston upon Hull East,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38377656,18,20,24,6,53,61,298,110,
Kingston upon Hull North and Cottingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418601027,44,69,85,86,95,27,273,80,
Kingston upon Hull West and Haltemprice,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444408453,94,101,89,100,153,125,387,116,
Kingswinford and South Staffordshire,7750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594840342,461,420,383,409,352,457,474,363,
Knowsley,9650.0,0.0,2279.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.670270617,5,4,2,8,4,175,344,135,
Lancaster and Wyre,23250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522461119,284,328,319,382,184,359,369,101,
Leeds Central and Headingley,0.0,0.0,0.0,0.0,0.0,5579.0,0.0,0.0,0.0,0.0,0.290592505,159,265,380,254,91,34,405,12,
Leeds East,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452119769,32,61,60,25,76,11,461,57,
Leeds North East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362861302,260,246,225,436,231,112,470,119,
Leeds North West,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486302847,438,464,432,479,315,289,493,174,
Leeds South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426666131,6,16,41,3,31,3,374,6,
Leeds South West and Morley,32500.0,0.0,0.0,1783.54,0.0,0.0,0.0,0.0,0.0,0.0,0.441416125,184,237,210,225,164,79,435,61,
Leeds West and Pudsey,289709.62,0.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.404175477,95,144,137,117,120,15,504,29,
Leicester East,8901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148976792,127,64,147,39,150,232,406,206,
Leicester South,63485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219087221,112,87,196,57,101,145,404,141,
Leicester West,7500.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.372156593,38,38,103,30,62,12,436,144,
Leigh and Atherton,9000.0,0.0,541.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597021548,117,123,75,135,87,77,503,337,
Lewes,57060.0,0.0,0.0,1609.6599999999999,0.0,2118.5,0.0,0.0,0.0,0.0,0.4370051,385,359,320,294,394,435,164,389,
Lewisham North,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.404736698,142,127,229,432,233,97,20,38,
Lewisham West and East Dulwich,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.395576039,240,204,274,488,274,185,58,67,
Leyton and Wanstead,10000.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.387590089,234,225,341,422,349,160,28,63,
Lichfield,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549698545,440,401,356,378,366,458,382,443,
Lincoln,52600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431852843,170,175,159,131,130,288,272,406,
Liverpool Garston,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623469778,70,78,48,138,32,245,479,85,
Liverpool Riverside,8000.0,0.0,0.0,0.0,0.0,1396.0,0.0,0.0,0.0,0.0,0.470599727,1,5,14,12,2,23,372,22,
Liverpool Walton,9360.0,0.0,0.0,0.0,0.0,4261.0,0.0,0.0,0.0,0.0,0.671192797,3,6,3,33,3,62,499,18,
Liverpool Wavertree,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49441822,39,68,80,195,15,76,453,3,
Liverpool West Derby,17450.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.658242289,10,13,6,70,6,55,501,16,
Loughborough,48948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411748938,384,363,388,292,342,305,391,344,
Louth and Horncastle,5000.0,0.0,0.0,0.0,0.0,545.44,0.0,0.0,0.0,0.0,0.539478315,161,185,119,176,144,505,162,195,
Lowestoft,55205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437677818,134,131,82,60,156,242,432,268,
Luton North,5000.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.387654961,201,174,223,198,189,164,81,316,
Luton South and South Bedfordshire,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387954558,138,142,219,121,178,109,36,171,
Macclesfield,16000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527272918,415,415,342,453,330,395,351,353,
Maidenhead,7000.0,0.0,0.0,1514.1799999999998,0.0,1552.86,0.0,0.0,0.0,0.0,0.489914015,521,517,522,493,511,485,276,453,
Maidstone and Malling,16768.58,0.0,0.0,0.0,1440.0,2247.0,0.0,0.0,0.0,0.0,0.480225054,377,355,374,359,397,278,179,297,
Makerfield,59500.0,0.0,4340.33,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.652839846,221,217,152,202,121,184,509,479,
Maldon,5000.0,0.0,0.0,0.0,0.0,6160.0,0.0,0.0,0.0,0.0,0.502300552,413,412,397,296,462,402,123,409,
Manchester Central,0.0,0.0,0.0,0.0,0.0,5374.0,0.0,0.0,0.0,0.0,0.392778958,16,48,131,85,11,2,119,45,
Manchester Rusholme,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255812693,30,36,143,204,9,9,93,60,
Manchester Withington,2000.0,0.0,0.0,0.0,0.0,2918.0,0.0,0.0,0.0,0.0,0.313753062,182,253,332,475,67,13,246,99,
Mansfield,35921.2,0.0,2230.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466641982,121,146,83,48,71,192,384,445,
Melksham and Devizes,10000.0,0.0,0.0,1322.42,0.0,2000.0,0.0,0.0,0.0,0.0,0.49460808,419,413,375,344,420,451,228,374,
Melton and Syston,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477685337,423,427,431,288,389,380,301,314,
Meriden and Solihull East,20000.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,0.0,0.51783164,261,231,197,227,313,292,201,471,
Mid Bedfordshire,6400.0,0.0,1407.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486192947,507,507,513,442,483,416,278,352,
Mid Buckinghamshire,19500.0,0.0,0.0,0.0,0.0,9081.6,0.0,0.0,0.0,0.0,0.515608863,529,532,531,510,525,528,100,441,
Mid Cheshire,12000.0,0.0,3036.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543131839,256,248,204,187,173,319,442,346,
Mid Derbyshire,0.0,0.0,1569.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49764762,482,469,447,415,310,517,426,408,
Mid Dorset and North Poole,22625.0,0.0,0.0,24085.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.496489827,466,465,436,369,416,487,217,467,
Mid Leicestershire,0.0,0.0,0.0,1006.75,0.0,2635.0,0.0,0.0,0.0,0.0,0.431102846,483,473,470,363,445,294,448,423,
Mid Norfolk,0.0,0.0,0.0,27000.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.502999491,311,376,321,163,300,495,79,234,
Mid Sussex,42230.0,0.0,0.0,475.0,0.0,1867.2,0.0,0.0,0.0,0.0,0.477301599,520,511,500,467,522,484,306,477,
Middlesbrough South and East Cleveland,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539557835,128,111,62,179,73,250,398,516,
Middlesbrough and Thornaby East,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431559755,8,2,5,11,7,25,514,380,
